case_id,case_name,temperature_c,sea_surface_temperature_c,relative_humidity_pct,water_vapour_gkg,surface_pressure_hpa,wind_speed_ms,wind_direction_deg,vertical_wind_shear_ms,cloud_organization_index,convection_index,rotation_index,persistence_index,cyclone_label
TC-01,Rapidly Intensifying Tropical Cyclone,28.5,30.5,88.0,22.0,975.0,42.0,120.0,4.5,0.92,0.88,0.85,0.9,1
TC-02,Fair Weather / Calm Open Ocean,25.0,26.0,35.0,10.0,1016.0,6.0,45.0,12.0,0.05,0.08,0.02,0.05,0
TC-03,Benign Tropical Cloud Cluster (Anti-Bias Check),27.0,28.0,75.0,18.0,1010.0,10.0,210.0,28.0,0.15,0.6,0.05,0.15,0
TC-04,Shear-Torn Tropical Disturbance,28.0,29.5,80.0,19.5,1004.0,18.0,180.0,35.0,0.35,0.45,0.25,0.3,0
TC-05,Dry Air Intrusion into Disturbance,27.5,28.8,22.0,8.0,1002.0,20.0,90.0,10.0,0.55,0.25,0.45,0.35,1
TC-06,Developing Tropical Depression,28.0,29.2,82.0,20.5,998.0,22.0,140.0,7.0,0.65,0.7,0.55,0.6,1
TC-07,Mature Severe Cyclonic Storm,29.0,31.0,92.0,24.0,955.0,55.0,160.0,3.0,0.98,0.95,0.96,0.95,1
TC-08,Marginal Subtropical System,24.5,26.2,68.0,15.0,1008.0,16.0,280.0,14.0,0.4,0.4,0.35,0.4,0
TC-09,Monsoon Trough Low Pressure Area,27.5,28.5,85.0,21.0,1002.0,14.0,230.0,16.0,0.45,0.65,0.25,0.5,0
TC-10,Extratropical Transition / Cold Core Post-Tropical,21.0,23.5,60.0,12.0,995.0,28.0,310.0,25.0,0.4,0.3,0.4,0.3,0
